"image","caption","entities","relations"
"3570.png","A diagram showing the structure of a leaf. The image has a title: structure of a leaf.","structure of a leaf; spongy mesophyll; palisade mesophyll; moist air space; epidermis; guard cells; vein; o2 out; co2 in; image of Leaf cross-section","spongy mesophyll → image of Leaf cross-section; palisade mesophyll → image of Leaf cross-section; moist air space → image of Leaf cross-section; epidermis → image of Leaf cross-section; guard cells → image of Leaf cross-section; vein → image of Leaf cross-section; o2 out → image of Leaf cross-section; co2 in → image of Leaf cross-section"
"3571.png","A diagram showing plants associated with coffee, tea, and sugar production. Its title is: coffee, tea and sugar.","coffee, tea and sugar; coffee plant; tea plant; sugarcane; image of Leaves; image of Beans; image of Flowers; image of Stalk","coffee plant → image of Leaves; tea plant → image of Flowers; sugarcane → image of Stalk"
"3572.png","A diagram showing the stages of seed germination for a bean (dicot).","seed germination; foliage leaves; cotyledons; seed coat; bean (dicot); primary root; young shoot; germinating seed; image of Germinating seed; image of Cotyledons; image of Foliage leaves","seed germination → image of Foliage leaves; foliage leaves → image of Foliage leaves; cotyledons → image of Cotyledons; seed coat → image of Cotyledons; bean (dicot) → I0; primary root → image of Cotyledons; young shoot → image of Cotyledons; germinating seed → image of Germinating seed"
"3573.png","A diagram showing the stages of plant growth","hypocotyl; epicotyl; cotyledon; hypocotyl; epicotyl; cotyledon; hypocotyl; image of Germination; image of Development","hypocotyl → image of Development; epicotyl → image of Development; epicotyl → image of Development; cotyledon → image of Development; hypocotyl → image of Development; epicotyl → image of Germination; cotyledon → image of Germination; hypocotyl → image of Germination"
"3574.png","A diagram showing the parts of a potato plant","main stems; lateral stem; compound leaf; fruit; flowers; stolons; mother tuber; roots; tuber; image of Plant parts labels","main stems → image of Plant parts labels; lateral stem → image of Plant parts labels; compound leaf → image of Plant parts labels; fruit → image of Plant parts labels; flowers → image of Plant parts labels; stolons → image of Plant parts labels; mother tuber → image of Plant parts labels; roots → image of Plant parts labels; tuber → image of Plant parts labels"
"3575.png","A diagram showing the stages of seed germination and plant growth","foliage leaves ; cotyledons; hypocotyl; radicle ; primary root ; elizabeth morales ; image of Seed germination stages","foliage leaves  → image of Seed germination stages; foliage leaves  → image of Seed germination stages; cotyledons → image of Seed germination stages; hypocotyl → image of Seed germination stages; hypocotyl → image of Seed germination stages; radicle  → image of Seed germination stages; primary root  → image of Seed germination stages; elizabeth morales  → I0"
"3576.png","A diagram showing parts of a Dryopteris plant.The title is: figure 8.2 dryopteris.  details of a frond..","petiole; ramenta; indusium (surface view); pinnule enlarged to show position of sori; sori; rachis; figure 8.2 dryopteris.  details of a frond.; adventitious roots; rhizome (fronds); bipinnate leaves; pinnule; sori; fertile pinnae (sporophylls); indusium (lateral view); image of Plant; image of Fertile pinnule; image of Indusium; image of Pinnule","petiole → image of Plant; ramenta → image of Plant; indusium (surface view) → image of Indusium; pinnule enlarged to show position of sori → image of Plant; sori → image of Plant; rachis → image of Plant; adventitious roots → image of Plant; rhizome (fronds) → image of Plant; bipinnate leaves → image of Plant; pinnule → image of Pinnule; sori → image of Pinnule; fertile pinnae (sporophylls) → image of Plant; indusium (lateral view) → image of Fertile pinnule"
"3577.png","A diagram showing the anatomy of a flowering plant (Angiosperm).The image has a title: flowering plant (angiosperm) anatomy.","flower; stem; root; find us on facebook; flowering plant (angiosperm) anatomy; leaf; fruit; image of Plant","flower → image of Plant; stem → image of Plant; root → image of Plant; find us on facebook → I0; leaf → image of Plant; fruit → image of Plant"
"3578.png","A diagram showing the anatomy of a potato plant. the potato plant is the title.","international potato center (cip); the potato plant; tubers; roots; stolons; inflorescence; flower; fruit; compound leaf; leaflets; main stems; lateral stem; mother tuber; image of Plant","international potato center (cip) → I0; tubers → image of Plant; roots → image of Plant; stolons → image of Plant; inflorescence → image of Plant; inflorescence → image of Plant; flower → image of Plant; fruit → image of Plant; compound leaf → image of Plant; compound leaf → image of Plant; leaflets → image of Plant; main stems → image of Plant; main stems → image of Plant; lateral stem → image of Plant; mother tuber → image of Plant"
"3579.png","A diagram showing the parts of a plant. The title is: the parts of a plant.","richmond; the parts of a plant; flower; fruit; leaves; stem; leaf; roots; santillana; image of Flower","richmond → I0; flower → image of Flower; fruit → image of Flower; leaves → image of Flower; leaves → image of Flower; leaves → image of Flower; stem → image of Flower; leaf → image of Flower; roots → image of Flower; roots → image of Flower; santillana → I0"
"3580.png","A diagram showing the parts of a plant","leaf; flower; stem; roots; image of Plant","leaf → image of Plant; flower → image of Plant; stem → image of Plant; roots → image of Plant"
"3581.png","A diagram showing the life cycle stages of plants. The image has a title: all living things... plants.","all living things... plants; are born; grow; reproduce; die; image of Seedlings; image of Mature plant; image of Propagation","are born → image of Seedlings; grow → image of Seedlings; reproduce → image of Propagation; die → image of Mature plant"
"3582.png","A diagram showing various plant parts and types of plants. Titled as plants.","variegated leaves; dandelion clock; roots; plant; cactus; roots; bamboo; fern; lichen; moss; ivy; dandelion; plants; thistle; nettle; bulrush; reed; flower; bud; stalk; stem; thorn; shoot; bulb; image of Flower; image of Cactus; image of Bulrush; image of Reed; image of Bamboo; image of Fern; image of Lichen; image of Dandelion; image of Thistle; image of Ivy; image of Moss; image of Nettle","dandelion clock → image of Dandelion; roots → image of Flower; plant → image of Flower; cactus → image of Cactus; roots → image of Flower; bamboo → image of Bamboo; fern → image of Fern; lichen → image of Lichen; moss → image of Ivy; ivy → image of Moss; dandelion → image of Dandelion; thistle → image of Thistle; nettle → image of Nettle; bulrush → image of Bulrush; reed → image of Reed; flower → image of Flower; bud → image of Flower; stalk → image of Flower; stem → image of Flower; thorn → image of Flower; shoot → image of Flower; bulb → image of Flower"
"3583.png","A diagram showing the structure of a chloroplast","outer membrane; stroma; granum; inner membrane; thylakoid; image of Chloroplast","outer membrane → image of Chloroplast; stroma → image of Chloroplast; granum → image of Chloroplast; inner membrane → image of Chloroplast; thylakoid → image of Chloroplast"
"3584.png","A diagram showing the human respiratory system",".pharynx; .larynx; nasal passages; tongue; trachea.; bronchus; lung; diaphragm; image of Nasal passages",".pharynx → image of Nasal passages; .larynx → image of Nasal passages; nasal passages → image of Nasal passages; tongue → image of Nasal passages; trachea. → image of Nasal passages; bronchus → image of Nasal passages; lung → image of Nasal passages; diaphragm → image of Nasal passages"
"3585.png","A diagram showing the human respiratory system","nostril; paranasal sinuses; _ diaphragm; -left lung; alveoli; -bronchi; left main (primary) bronchus; pharynx; _ oral cavity; nasal cavity plus; larynx; carina of strachea; trachea; right main bronchus -; left lung; parietal pleura; ribs; image of Head","nostril → image of Head; paranasal sinuses → image of Head; _ diaphragm → image of Head; -left lung → image of Head; alveoli → image of Head; -bronchi → image of Head; left main (primary) bronchus → image of Head; pharynx → image of Head; _ oral cavity → image of Head; nasal cavity plus → image of Head; larynx → image of Head; carina of strachea → image of Head; trachea → image of Head; right main bronchus - → image of Head; left lung → image of Head; parietal pleura → image of Head; ribs → image of Head"
"3586.png","A diagram showing the human respiratory system","copyright@2009 pearson education, inc., publishing as pearson benjamin cummings; nasal cavity; base of left lung; diaphragm; nostril; oral cavity; pharynx; trachea; larynx; right main (primary); right lung; left main (primary); image of Head","copyright@2009 pearson education, inc., publishing as pearson benjamin cummings → I0; nasal cavity → image of Head; base of left lung → image of Head; diaphragm → image of Head; nostril → image of Head; oral cavity → image of Head; pharynx → image of Head; trachea → image of Head; larynx → image of Head; right main (primary) → image of Head; right lung → image of Head; left main (primary) → image of Head"
"3587.png","A diagram showing the human respiratory and circulatory systems interaction in the lung area","bronchus; pulmonary venule; bronchiole; alveoli; smallest blood vessels (capillaries); pulmonary arteriole; deoxygenated blood from heart; oxygenated blood to heart; image of Lung","bronchus → image of Lung; pulmonary venule → image of Lung; bronchiole → image of Lung; alveoli → image of Lung; alveoli → image of Lung; smallest blood vessels (capillaries) → image of Lung; smallest blood vessels (capillaries) → image of Lung; smallest blood vessels (capillaries) → image of Lung; pulmonary arteriole → image of Lung; deoxygenated blood from heart → image of Lung; oxygenated blood to heart → image of Lung"
